SegmentID,ACS
SegmentID,BHT
SegmentID,ASI
SegmentID,BLI
SegmentID,UDA
SegmentID,SPA
SegmentID,BLN
SegmentID,RPA
SegmentID,AWD
SegmentID,EMS
SegmentID,G86
SegmentID,BVP
SegmentID,VC1
SegmentID,BVS
SegmentID,DEL
SegmentID,CGS
SegmentID,SUP
SegmentID,TXI
SegmentID,AP1
SegmentID,CTP
SegmentID,SAC
SegmentID,BCI
SegmentID,LID
SegmentID,DAM
SegmentID,CRC
SegmentID,DVI
SegmentID,VAT
SegmentID,F13
SegmentID,ID
SegmentID,DP
SegmentID,DL
SegmentID,BMM
SegmentID,BVA
SegmentID,L7
SegmentID,VAD
SegmentID,BVB
SegmentID,SFC
SegmentID,DN
SegmentID,DH
SegmentID,VR
SegmentID,RT
SegmentID,RT1
SegmentID,ERP
SegmentID,CRS
SegmentID,CSU
SegmentID,RAP
SegmentID,MKS
SegmentID,DEG
SegmentID,SUM
SegmentID,FOS
SegmentID,IN2
SegmentID,CQ
SegmentID,ISI
SegmentID,ESI
SegmentID,ELV
SegmentID,AIN
SegmentID,CN1
SegmentID,CON
SegmentID,SES
SegmentID,WLD
SegmentID,SCT
SegmentID,OPX
SegmentID,EDF
SegmentID,PPA
SegmentID,AM1
SegmentID,BEN
SegmentID,IN1
SegmentID,K2
SegmentID,SLN
SegmentID,MS1
SegmentID,CID
SegmentID,IND
SegmentID,PCL
SegmentID,SST
SegmentID,SSE
SegmentID,ATV
SegmentID,TST
SegmentID,SBT
SegmentID,SRE
SegmentID,HS
SegmentID,IMM
SegmentID,HC
SegmentID,SP
SegmentID,OPS
SegmentID,SLA
SegmentID,ENM
SegmentID,DEF
SegmentID,GR
SegmentID,SAD
SegmentID,ENT
SegmentID,ENR
SegmentID,FNA
SegmentID,Y6
SegmentID,IDB
SegmentID,PLI
SegmentID,RQS
SegmentID,SCA
SegmentID,PSC
SegmentID,SSS
SegmentID,ITA
SegmentID,PCS
SegmentID,RC
SegmentID,TDS
SegmentID,LOC
SegmentID,PRR
SegmentID,REP
SegmentID,PRT
SegmentID,LV
SegmentID,DB
SegmentID,ACT
SegmentID,CRI
SegmentID,FC
SegmentID,EMT
SegmentID,WS
SegmentID,TMD
SegmentID,LN
SegmentID,IMP
SegmentID,CFI
SegmentID,REL
SegmentID,AD1
SegmentID,GRI
SegmentID,TFS
SegmentID,TIA
SegmentID,FGS
SegmentID,TRS
SegmentID,BTA
SegmentID,BTI
SegmentID,PBI
SegmentID,ICH
SegmentID,CHB
SegmentID,DPN
SegmentID,LOD
SegmentID,FDA
SegmentID,INR
SegmentID,ITC
SegmentID,ASO
SegmentID,TER
SegmentID,INQ
SegmentID,PYT
SegmentID,PYM
SegmentID,ACD
SegmentID,API
SegmentID,BBC
SegmentID,CED
